name,rating,text,label
Will Payne,1,Poor selection of shingles.,Good Review
ben franklin,1,"You have to be kidding me, 2 and a half hours for a eye exam ?",Rant
Courtney Lumpkin,1,"This place is terrible. They had a patient that was fine one day, had a nose bleed and passed out and instead of sending him to the hospital they send him home but when he walks out the door he¡¯s crying can¡¯t talk and trying to take his clothes off. Trying to get info to get this prior patient help is a brick wall, they said they have no knowledge of anything and hung up on me twice. You really shouldn¡¯t be in this field if you don¡¯t truly care about a persons recovery or even well being! The coordinator herself is very unprofessional and rude!",Rant
Cathy Smith,1,"The movers were very polite and on time. However, the original estimate provided as 6.5 hours but ended up being a 2 day job at a much higher cost. Furthermore, items/boxes were unloaded in garage in a haphazard way. Not stacked against wall, just thrown in the middle. I, just having both hips replaced had to move every box to make a walk space. I would be hesitant to recommend this company after this experience.",Good Review
Jade Kleeschulte,1,Never used them because an estimate to move items from storage unit to house (2 bedroom apartment size amount) and less than 15 miles away was estimated over $800. I've never paid more than $200 to load or unload my stuff even with flights of stairs. Tom my business tip another local art $185 to load and then to unload. For my own truck for less than $40,Rant
Chuck Blue,1,"I'm a life member of the VFW, a past post commander, and was raised in Opelika. I have never, not once, been able to get into the Auburn post and the link to the Opelika site sends you to a vacant lot and a building that now belongs to a church. Terrible.",Rant
Mikemike Fuqua,1,"You take product working and get product back not working. This business beat around the Bush when they done f¡Á¡Ák up your product. Then come to found didnt even know what they were working on. It funny how they on the road when you want to pick your product after waiting for 4 months on it, but really at the shop the whole time half way putting your product back together .",Rant
chip linton,1,They are only out for your money not to help a person trying to get sober they dont listen. Or try to help you this place is a joke.,Rant
Gun Wench,1,They won't let me give less than 1 star. Sign says they open at 9 am. Phone recording says they open at 9 AM. No one around and doors locked at 9:10 AM.,Rant
GiGi,1,"Decided to look into this, they recommended prepayment for the year bc it would be cheaper (didn't except insurance). Anesthesiologist inserted the 1st pellet time release dose, couldn't sit for 2wks. Next treatment was actually done by a gynecologist, no problem sitting after this one. Hate to say I noticed no change in how I felt. Called to schedule next treatment & they've closed this clinic on Memorial Pkwy in Huntsville. They will be moving this clinic into the same gynecologist's office that gave me my 2nd treatment, but they will be taking insurance only filing & that my contract was no longer valid. Money lost, very dissatisfied, disappointed, & angry. Evidently a new way to take your hard earned money.",Rant
Samantha Taylor,1,I order the Quick GrillTM in October 2020 for $39.99 shows shipped and I have never received. I have email this company 6times and NO RESPONSE at time. This is FRAUD and I am very displeased. I want my merchandise or to be REFUNDED my $39.99 ASAP !!!!!! DDO NOT ORDER FROM THIS COMPANY. THEY ARE JUST TAKING PEOPLES MONEY AND NOT DELIVERING THEIR MERCHANDISE. THIS IS RIDICULOUS!!!!????????,Rant
Michael Hearst,1,Not impressed nor did I get an hr..,Rant
Jessey Mixon,1,I did not make it back to the Doctor. I arrived 15 minutes early and was still waiting 40 minutes longer. I refused to waste my entire morning and notified the front desk receptionist. She seemed relieved that I told her I could not wait any longer and would have to cancel. Felt insignificant and that my time was not important. Found a clinic that seems more personable where I wont feel like a number but a person.,Rant
Mr. FA,1,I went into,Irrelevant Content
Platinum Construction & Remodeling (Eric R. Michael),1,That's because a different name was used.,Irrelevant Content
wanda willoughby,1,They had a kid working and messed my nails up cut nails too short and did not color them all the way I've got spots all over that are not colored and little specks underneath the Polish on my toes.Will not be going back and wasting more money,Good Review
james king,1,Closed out of business,Irrelevant Content
James Weldon,1,Most of the time burgers are burnt buns are hard and the wait is ridiculously long if you decide to eat here get the bar,Good Review
ECM CRNA,1,Poor customer service. In the market to buy a zero turn. Waited around for someone to help and no one offered to help. Much more worried about the ac not working in their office. Driving to Loretto for some decent customer service.,Good Review
David R,1,"Must be out of business as of 12/21/19, their number has been disconnected, at least the nbr Google lists.",Irrelevant Content
Semyha Purdue,1,Very kind going fast and affordable! Totyly happy!,Good Review
Anna Kim,1,I would not get the food it¡¯s not good. I got the potato and cheese inside and it came out deformed. When I ate it the dough was not cooked and the cheese was all on the bottom and it was just plain messy and disgusting. The waffles with cream was really soggy and just not good.,Good Review
